2026-07-16 11:29:31,692 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x6f', 'b': '0x3a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,693 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x8b', 'b': '0x5'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,693 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x63', 'b': '0x94'}, 'response': {'zero': '0x0', 'result': '0x1160'}}
2026-07-16 11:29:31,694 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x0', 'a': '0x71', 'b': '0xa3'}, 'response': {'zero': '0x0', 'result': '0xffffffcf'}}
2026-07-16 11:29:31,694 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x5e', 'b': '0x4b'}, 'response': {'zero': '0x0', 'result': '0x114'}}
2026-07-16 11:29:31,695 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x77', 'b': '0xb6'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,695 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x9f', 'b': '0x23'}, 'response': {'zero': '0x0', 'result': '0xf7'}}
2026-07-16 11:29:31,695 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x35', 'b': '0x18'}, 'response': {'zero': '0x0', 'result': '0x7c'}}
2026-07-16 11:29:31,695 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x35', 'b': '0x53'}, 'response': {'zero': '0x0', 'result': '0x3d'}}
2026-07-16 11:29:31,696 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x5', 'a': '0x71', 'b': '0xb9'}, 'response': {'zero': '0x0', 'result': '0x66'}}
2026-07-16 11:29:31,696 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x7', 'a': '0xb1', 'b': '0x1d'}, 'response': {'zero': '0x0', 'result': '0xe2000000'}}
2026-07-16 11:29:31,697 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x1', 'a': '0x4a', 'b': '0xa8'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,697 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x1', 'a': '0xb4', 'b': '0x5d'}, 'response': {'zero': '0x0', 'result': '0xffffffa2'}}
2026-07-16 11:29:31,697 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x6b', 'b': '0x69'}, 'response': {'zero': '0x0', 'result': '0x57'}}
2026-07-16 11:29:31,698 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x7', 'a': '0x4e', 'b': '0x84'}, 'response': {'zero': '0x0', 'result': '0x6b'}}
2026-07-16 11:29:31,698 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x7', 'a': '0x9', 'b': '0x99'}, 'response': {'zero': '0x0', 'result': '0x4'}}
2026-07-16 11:29:31,698 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x7', 'a': '0xbd', 'b': '0x77'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:29:31,699 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x4', 'a': '0x48', 'b': '0x44'}, 'response': {'zero': '0x1', 'result': '0x0'}}
