2026-07-16 16:03:33,571 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x0', 'rd_i': '0x1', 'wr_i': '0x1', 'command_i': '0x21', 'data_i': '0x110', 'address_i': '0x26'}, 'response': {'command_o': '0x0', 'den': '0x0', 'empty': '0x1', 'full': '0x0', 'data_o': '0x0', 'address_o': '0x0'}}
2026-07-16 16:03:33,573 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x0', 'rd_i': '0x1', 'wr_i': '0x1', 'command_i': '0x7d', 'data_i': '0xdc', 'address_i': '0x31'}, 'response': {'command_o': '0x21', 'den': '0x0', 'empty': '0x1', 'full': '0x0', 'data_o': '0x110', 'address_o': '0x26'}}
2026-07-16 16:03:33,573 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x1', 'rd_i': '0x1', 'wr_i': '0x0', 'command_i': '0xc9', 'data_i': '0x94', 'address_i': '0x35'}, 'response': {'command_o': '0x7d', 'den': '0x0', 'empty': '0x1', 'full': '0x0', 'data_o': '0xdc', 'address_o': '0x31'}}
2026-07-16 16:03:33,574 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x0', 'rd_i': '0x1', 'wr_i': '0x0', 'command_i': '0x90', 'data_i': '0x100', 'address_i': '0x3b'}, 'response': {'command_o': '0x7d', 'den': '0x0', 'empty': '0x1', 'full': '0x0', 'data_o': '0xdc', 'address_o': '0x31'}}
2026-07-16 16:03:33,575 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x0', 'rd_i': '0x0', 'wr_i': '0x1', 'command_i': '0x8c', 'data_i': '0x8e', 'address_i': '0x63'}, 'response': {'command_o': '0x7d', 'den': '0x0', 'empty': '0x1', 'full': '0x0', 'data_o': '0xdc', 'address_o': '0x31'}}
2026-07-16 16:03:33,575 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x0', 'rd_i': '0x0', 'wr_i': '0x1', 'command_i': '0x2e', 'data_i': '0x1ca', 'address_i': '0x15'}, 'response': {'command_o': '0x0', 'den': '0x0', 'empty': '0x0', 'full': '0x0', 'data_o': '0x0', 'address_o': '0x0'}}
2026-07-16 16:03:33,576 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x1', 'rd_i': '0x1', 'wr_i': '0x0', 'command_i': '0x4e', 'data_i': '0xa5', 'address_i': '0x36'}, 'response': {'command_o': '0x0', 'den': '0x0', 'empty': '0x0', 'full': '0x0', 'data_o': '0x0', 'address_o': '0x0'}}
2026-07-16 16:03:33,576 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x1', 'rd_i': '0x0', 'wr_i': '0x1', 'command_i': '0xca', 'data_i': '0x52', 'address_i': '0x2e'}, 'response': {'command_o': '0x8c', 'den': '0x1', 'empty': '0x0', 'full': '0x0', 'data_o': '0x8e', 'address_o': '0x63'}}
2026-07-16 16:03:33,577 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x1', 'rd_i': '0x0', 'wr_i': '0x0', 'command_i': '0x14', 'data_i': '0x1f1', 'address_i': '0x5'}, 'response': {'command_o': '0x0', 'den': '0x0', 'empty': '0x0', 'full': '0x0', 'data_o': '0x0', 'address_o': '0x0'}}
2026-07-16 16:03:33,577 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x0', 'rd_i': '0x1', 'wr_i': '0x1', 'command_i': '0x37', 'data_i': '0xea', 'address_i': '0x3a'}, 'response': {'command_o': '0x0', 'den': '0x0', 'empty': '0x0', 'full': '0x0', 'data_o': '0x0', 'address_o': '0x0'}}
2026-07-16 16:03:33,577 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x1', 'rd_i': '0x1', 'wr_i': '0x1', 'command_i': '0xa5', 'data_i': '0x1f0', 'address_i': '0x4'}, 'response': {'command_o': '0x2e', 'den': '0x1', 'empty': '0x0', 'full': '0x0', 'data_o': '0x1ca', 'address_o': '0x15'}}
2026-07-16 16:03:33,578 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x0', 'rst_ni': '0x1', 'rd_i': '0x1', 'wr_i': '0x1', 'command_i': '0xea', 'data_i': '0x5', 'address_i': '0x5b'}, 'response': {'command_o': '0xca', 'den': '0x1', 'empty': '0x0', 'full': '0x0', 'data_o': '0x52', 'address_o': '0x2e'}}
2026-07-16 16:03:33,578 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk_i': '0x1', 'rst_ni': '0x0', 'rd_i': '0x0', 'wr_i': '0x1', 'command_i': '0x4a', 'data_i': '0x1cc', 'address_i': '0x12'}, 'response': {'command_o': '0x37', 'den': '0x1', 'empty': '0x0', 'full': '0x0', 'data_o': '0xea', 'address_o': '0x3a'}}
