2025-02-26 18:42:24,257 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response (some 'x' or 'z') -> {'request': {'clk': 1, 'reset': 1, 'alu_op': zzzz, 'a': zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, 'b': zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz}, 'response': {'zero': x, 'result': xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx}}
2025-02-26 18:42:24,258 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x7", "a": "0x4", "b": "0xa"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,259 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0xf", "a": "0x2", "b": "0xd"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,260 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0xf", "a": "0xb", "b": "0xa"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,260 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0xa", "a": "0x10", "b": "0xf"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,261 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x8", "a": "0x4", "b": "0xa"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,262 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x6", "a": "0xf", "b": "0x14"}, "response": {"zero": "0x0", "result": "0x1"}}
2025-02-26 18:42:24,263 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x3", "a": "0x12", "b": "0xf"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,263 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x0", "a": "0x9", "b": "0x8"}, "response": {"zero": "0x0", "result": "0x1f"}}
2025-02-26 18:42:24,264 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0x7", "a": "0x11", "b": "0xa"}, "response": {"zero": "0x0", "result": "0x11"}}
2025-02-26 18:42:24,265 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0xa", "a": "0x6", "b": "0x13"}, "response": {"zero": "0x1", "result": "0x0"}}
2025-02-26 18:42:24,265 | INFO | [uvm_test_top.env.ALUAgent.monitor] | Transaction response -> {"request": {"clk": "0x1", "reset": "0x0", "alu_op": "0xa", "a": "0x6", "b": "0x13"}, "response": {"zero": "0x1", "result": "0x0"}}
